{'time': 1.0205299854278564, 'x': 0.1888950086514161, 'y': -0.3629865582215069, 'z': 0.04661956255519841, 'yaw': 0.03489395213768158, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0306408405303955, 'x': 0.18892114220488151, 'y': -0.3629468672647342, 'z': 0.0466677472400638, 'yaw': 0.03462394905237874, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0405755043029785, 'x': 0.18888519533378426, 'y': -0.36295544853800993, 'z': 0.04669899047246598, 'yaw': 0.03542455273373184, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.050612449645996, 'x': 0.18918185668428775, 'y': -0.3630478517088106, 'z': 0.04689988069556044, 'yaw': 0.04047086282179465, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0607225894927979, 'x': 0.1890853367242556, 'y': -0.36299016207017926, 'z': 0.04651281502651311, 'yaw': 0.024585773659402097, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.071732997894287, 'x': 0.18941517046329914, 'y': -0.36275086905422727, 'z': 0.04679753290950684, 'yaw': 0.034619694650104255, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0808331966400146, 'x': 0.18890778852533766, 'y': -0.3630063293841508, 'z': 0.04658400267837843, 'yaw': 0.03475551762301609, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0905425548553467, 'x': 0.18870784083127937, 'y': -0.3629436917241577, 'z': 0.0462762919232195, 'yaw': 0.03009524721064467, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1005032062530518, 'x': 0.1890324886891955, 'y': -0.36305839043659277, 'z': 0.04676469189248183, 'yaw': 0.03938499317021266, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1104791164398193, 'x': 0.18902045977884188, 'y': -0.36282916972584656, 'z': 0.04664885920203759, 'yaw': 0.03480249476725902, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1206848621368408, 'x': 0.1892072561548931, 'y': -0.36272081731744177, 'z': 0.046849438112353516, 'yaw': 0.03581075658590388, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.130528450012207, 'x': 0.1891937312183694, 'y': -0.3629984264759521, 'z': 0.0468792166883578, 'yaw': 0.038052310139319076, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.140749216079712, 'x': 0.18876330270688688, 'y': -0.36300834222548145, 'z': 0.04666017058556817, 'yaw': 0.032652387363231686, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.150874376296997, 'x': 0.18905740173116267, 'y': -0.362893853258683, 'z': 0.046561038097155866, 'yaw': 0.039011123978206386, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1607930660247803, 'x': 0.1893134935412004, 'y': -0.36288475671351067, 'z': 0.0467665428331783, 'yaw': 0.04206421768324113, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1709465980529785, 'x': 0.1892568157058089, 'y': -0.36291068349809524, 'z': 0.046736348575271675, 'yaw': 0.03980370298342561, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1808843612670898, 'x': 0.18912524535490505, 'y': -0.36301568288000907, 'z': 0.04692724003844636, 'yaw': 0.037594864758511065, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.19093918800354, 'x': 0.1889369322675791, 'y': -0.3628028836312563, 'z': 0.046541100599075395, 'yaw': 0.032139199626439796, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2009387016296387, 'x': 0.18886008370418583, 'y': -0.3628017220059793, 'z': 0.0462384345927813, 'yaw': 0.023277229493461116, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.210937738418579, 'x': 0.18935974913454662, 'y': -0.3629056357640228, 'z': 0.04676056208181568, 'yaw': 0.03972275780195868, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2208220958709717, 'x': 0.18907429537134568, 'y': -0.3627153676817936, 'z': 0.04675623078948646, 'yaw': 0.0358358198372663, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2300364971160889, 'x': 0.18971748984931708, 'y': -0.36236357848498874, 'z': 0.04655565664266098, 'yaw': 0.03099968353141937, 'x_sp': 0.18893357153874762, 'y_sp': -0.36296250498231203, 'z_sp': 0.3, 'yaw_sp': 0}
