{'time': 1.0227315425872803, 'x': 0.16922581876420476, 'y': 0.7658277328964862, 'z': 0.04838176558720668, 'yaw': 0.003677180600046755, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0338044166564941, 'x': 0.1691759263554028, 'y': 0.7658146751425788, 'z': 0.04842994402880076, 'yaw': 0.003990561486673541, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.043830156326294, 'x': 0.16945885068645697, 'y': 0.7659955439646385, 'z': 0.04859101158837719, 'yaw': 0.01500231709592477, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0528509616851807, 'x': 0.16940081795846137, 'y': 0.7660732558677428, 'z': 0.048338226299104385, 'yaw': 0.007605150471638123, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0630097389221191, 'x': 0.16934755736332854, 'y': 0.7660827753970384, 'z': 0.04832683043795805, 'yaw': 0.0077177882967815956, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0740652084350586, 'x': 0.1690287525065229, 'y': 0.7660553068669252, 'z': 0.04831835843916499, 'yaw': 0.010194170137273351, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.084092378616333, 'x': 0.1688478702203484, 'y': 0.7660731471059155, 'z': 0.04743955794202438, 'yaw': -0.013690054515222982, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.0931620597839355, 'x': 0.1691602453291443, 'y': 0.7661263061862994, 'z': 0.047389883174061634, 'yaw': -0.010038270603177857, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1031887531280518, 'x': 0.16918098204975301, 'y': 0.7661256965200736, 'z': 0.048152986725152405, 'yaw': 0.004562419729967103, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1132452487945557, 'x': 0.16928773939285635, 'y': 0.7659362315496209, 'z': 0.04813367849505502, 'yaw': 0.007634069628638654, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1232776641845703, 'x': 0.16941105961231173, 'y': 0.7660674293761757, 'z': 0.04821547983295632, 'yaw': 0.0021964127418921636, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1332931518554688, 'x': 0.16894296073721465, 'y': 0.765951549005944, 'z': 0.04808498747117036, 'yaw': 0.005774615107168225, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.143324375152588, 'x': 0.1692985328759888, 'y': 0.766008358267955, 'z': 0.048277098581530016, 'yaw': 0.007644517314520895, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.153339147567749, 'x': 0.1692582745264556, 'y': 0.7659446876142978, 'z': 0.04825682889901723, 'yaw': 0.008624509086222911, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1633656024932861, 'x': 0.16908929566857683, 'y': 0.7661262847629301, 'z': 0.04785992849514818, 'yaw': 0.002256135506958281, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1733922958374023, 'x': 0.16907964683966853, 'y': 0.7659457164707456, 'z': 0.04803036384497256, 'yaw': 0.004473361555789433, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1834299564361572, 'x': 0.16884829896439724, 'y': 0.7659943243001992, 'z': 0.04782031437273113, 'yaw': 0.003921146074346103, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.1934332847595215, 'x': 0.1687249005271647, 'y': 0.7658834657532888, 'z': 0.04793318614948056, 'yaw': 0.003905430697226918, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2035861015319824, 'x': 0.16933688767898575, 'y': 0.7660415826532864, 'z': 0.048084777248966794, 'yaw': 0.005025957525409396, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2136173248291016, 'x': 0.16975157994494877, 'y': 0.7662408956451159, 'z': 0.04815268471286843, 'yaw': -0.007055867391828841, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2235169410705566, 'x': 0.1693164241585082, 'y': 0.7659670512114048, 'z': 0.04811563198147633, 'yaw': 0.0021802261630951185, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2335472106933594, 'x': 0.16931169851924238, 'y': 0.7659762943933027, 'z': 0.04830428119074759, 'yaw': 0.011623292439594446, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2435905933380127, 'x': 0.16926748266275768, 'y': 0.7660322473974732, 'z': 0.0482775339173906, 'yaw': 9.994772099856929e-05, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.253629446029663, 'x': 0.1690965527112532, 'y': 0.7659808820777124, 'z': 0.04838591380546227, 'yaw': 0.006731294870901028, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.263672113418579, 'x': 0.1693065598597821, 'y': 0.7660212377754586, 'z': 0.04827250880955032, 'yaw': 0.0027248452453411736, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2728075981140137, 'x': 0.16935933346041404, 'y': 0.766105569144949, 'z': 0.048421504300635104, 'yaw': 0.011005166254845183, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2839014530181885, 'x': 0.1694005486835232, 'y': 0.7661416148984178, 'z': 0.04832508875453224, 'yaw': 0.00619450184790068, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 1.2930190563201904, 'x': 0.16915468192726285, 'y': 0.7660059419337791, 'z': 0.04844684418432532, 'yaw': 0.005807274913887238, 'x_sp': 0.16918517934633714, 'y_sp': 0.7658045227702533, 'z_sp': 0.3, 'yaw_sp': 0}
