{'time': 1.0200984477996826, 'x': 0.1460968168016585, 'y': 0.19959947545708134, 'z': 0.04635831388755414, 'yaw': -0.026201432621617116, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.029240369796753, 'x': 0.14607233494718777, 'y': 0.19959809384368513, 'z': 0.046401061876110365, 'yaw': -0.02507627949757385, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.040285348892212, 'x': 0.14589223493201703, 'y': 0.19952917912267865, 'z': 0.04645196476722554, 'yaw': -0.019503528014969795, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.050398826599121, 'x': 0.14587478514275753, 'y': 0.19954046504786044, 'z': 0.0464539796771008, 'yaw': -0.01792464611976019, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0598523616790771, 'x': 0.14627779121746098, 'y': 0.19962785327963756, 'z': 0.04621963859614789, 'yaw': -0.0217725833802902, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0699913501739502, 'x': 0.14583308643978213, 'y': 0.19937208985035876, 'z': 0.04615404614754078, 'yaw': -0.022847132403223114, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0800628662109375, 'x': 0.14591618875958837, 'y': 0.19957213654324255, 'z': 0.0463051696094071, 'yaw': -0.019954800799204975, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0893034934997559, 'x': 0.14604049894458246, 'y': 0.199612448635149, 'z': 0.04654119868228419, 'yaw': -0.020443182710163654, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0994105339050293, 'x': 0.14572037370233207, 'y': 0.19942470177940647, 'z': 0.04641965586447083, 'yaw': -0.017067081316045396, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.109388828277588, 'x': 0.1461012131149408, 'y': 0.19958800075666186, 'z': 0.04654720585430542, 'yaw': -0.022343601221437304, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1200673580169678, 'x': 0.14598793056920975, 'y': 0.19952547081293448, 'z': 0.046263959275185354, 'yaw': -0.022685923369667016, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1291913986206055, 'x': 0.14582137390150252, 'y': 0.19955081703758704, 'z': 0.046559207131263027, 'yaw': -0.01674768004574556, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.139669418334961, 'x': 0.14581638971682975, 'y': 0.19951190581509493, 'z': 0.04643171863641931, 'yaw': -0.02048763124907449, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1502618789672852, 'x': 0.1458884233515857, 'y': 0.19954958082296026, 'z': 0.046555870404242916, 'yaw': -0.021346284952521444, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1593139171600342, 'x': 0.14582159861586805, 'y': 0.199563207549305, 'z': 0.0465929127778172, 'yaw': -0.016187356447580292, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1693787574768066, 'x': 0.14591864476828295, 'y': 0.19949853927750583, 'z': 0.04633709746580465, 'yaw': -0.02135902798829381, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1793675422668457, 'x': 0.14590997832961472, 'y': 0.199520891048424, 'z': 0.046453192947448145, 'yaw': -0.02251308082685899, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1895880699157715, 'x': 0.14600739421794218, 'y': 0.19952477455369616, 'z': 0.04643976502928821, 'yaw': -0.025119398083927713, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1994454860687256, 'x': 0.14600359409997088, 'y': 0.19961734312213905, 'z': 0.04649858970998582, 'yaw': -0.022967759146320432, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.209641695022583, 'x': 0.14592036791737828, 'y': 0.1994420206945053, 'z': 0.046512925571310704, 'yaw': -0.018056637840693668, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.219646692276001, 'x': 0.14594405104217, 'y': 0.19958005077925628, 'z': 0.04658251556952871, 'yaw': -0.014867520963443681, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.229456901550293, 'x': 0.14600083796963723, 'y': 0.19955743393853181, 'z': 0.046489126148748054, 'yaw': -0.02251083665360909, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.239013910293579, 'x': 0.14579753332781908, 'y': 0.19949420491142228, 'z': 0.046448099395301014, 'yaw': -0.01801149668360047, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.249730110168457, 'x': 0.14592788804960538, 'y': 0.19949661679678027, 'z': 0.04654611549514428, 'yaw': -0.019598748621146633, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.259392499923706, 'x': 0.14603737964273922, 'y': 0.1995621012679698, 'z': 0.046552518153070876, 'yaw': -0.022336567491980652, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2697691917419434, 'x': 0.1460760604532744, 'y': 0.19955283049261344, 'z': 0.046729897577358, 'yaw': -0.022518490500286426, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2802486419677734, 'x': 0.14611407189792003, 'y': 0.19945151347979395, 'z': 0.04652397236804457, 'yaw': -0.021379261988506038, 'x_sp': 0.14603562708626946, 'y_sp': 0.19960484825691352, 'z_sp': 0.5, 'yaw_sp': 0}
