{'time': 1.0266823768615723, 'x': 0.05667716943301557, 'y': 0.11612289886665052, 'z': 0.048269611035374346, 'yaw': -0.0017659425340541546, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0367085933685303, 'x': 0.056697426477981885, 'y': 0.11609947990512119, 'z': 0.048242827477580824, 'yaw': -0.00245099770838042, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0468082427978516, 'x': 0.05659065668679084, 'y': 0.11597086044333745, 'z': 0.048148733530356674, 'yaw': -0.008055433713685112, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0568349361419678, 'x': 0.05651219914861135, 'y': 0.1159385287707012, 'z': 0.048025520930378436, 'yaw': -0.0028393771505950127, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.065882921218872, 'x': 0.05668283476340212, 'y': 0.1159290373789198, 'z': 0.048136607661103996, 'yaw': -0.000552291547022854, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.0759742259979248, 'x': 0.056480917976479174, 'y': 0.1160031439561333, 'z': 0.048115020736163645, 'yaw': -0.0011216758920875591, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.086000919342041, 'x': 0.05649008762431064, 'y': 0.11586871701468326, 'z': 0.04827531494491333, 'yaw': -0.004560084247650309, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.096224069595337, 'x': 0.05649729565409469, 'y': 0.1159767600396767, 'z': 0.04823882583337587, 'yaw': -0.009100107307244976, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1062958240509033, 'x': 0.05648295027914093, 'y': 0.11591946456320348, 'z': 0.04818020146719756, 'yaw': -0.006748411530589138, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1156787872314453, 'x': 0.05652814918862174, 'y': 0.11589011150204469, 'z': 0.04828273891943168, 'yaw': -0.005851093568809418, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.126765489578247, 'x': 0.0564272126267418, 'y': 0.11577950515201692, 'z': 0.047928842665897656, 'yaw': -0.004098201694551662, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.135629415512085, 'x': 0.05664253323516836, 'y': 0.11600549727919869, 'z': 0.048065544023998166, 'yaw': -0.010172740223750587, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.145660638809204, 'x': 0.056551694970250255, 'y': 0.11595120165030726, 'z': 0.04827308990949774, 'yaw': -0.008338253468372692, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.156630277633667, 'x': 0.05655556532566142, 'y': 0.11600112472165258, 'z': 0.048220920968350976, 'yaw': -0.007153748138605032, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1659700870513916, 'x': 0.05659449990280397, 'y': 0.11602144978621769, 'z': 0.048386415432385324, 'yaw': -0.011060479274191515, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1758713722229004, 'x': 0.05658792668037365, 'y': 0.11599704969389159, 'z': 0.04822893903279033, 'yaw': -0.006036462563509204, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1859095096588135, 'x': 0.05647619439702869, 'y': 0.11587148725306234, 'z': 0.04821943830456608, 'yaw': -0.005954726712464442, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.1966919898986816, 'x': 0.05666478778747223, 'y': 0.11591434389786051, 'z': 0.048281779883288356, 'yaw': -0.007052396648449033, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2067184448242188, 'x': 0.056823755092542845, 'y': 0.1159849295324414, 'z': 0.04819991514641135, 'yaw': -0.005686738513985823, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2157182693481445, 'x': 0.056681454472327454, 'y': 0.11596043142781416, 'z': 0.04827833378776676, 'yaw': -0.008905149886238029, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.226776123046875, 'x': 0.05653864581127649, 'y': 0.11592469890277558, 'z': 0.04831466581396321, 'yaw': -0.007366596598387787, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.236753225326538, 'x': 0.05666057691942723, 'y': 0.11597703829132394, 'z': 0.048192013917452495, 'yaw': -0.006282072232670188, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.245671033859253, 'x': 0.05668530487967558, 'y': 0.11597438092375315, 'z': 0.04845738640757934, 'yaw': -0.00952590925179031, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2566487789154053, 'x': 0.05661882942054426, 'y': 0.11595611738935915, 'z': 0.04828965714137007, 'yaw': -0.005966948213291801, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2658264636993408, 'x': 0.056649723988489505, 'y': 0.11586208624224385, 'z': 0.0483036228207042, 'yaw': -0.0027631683920086303, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.275968313217163, 'x': 0.05679779985797464, 'y': 0.11593870680908594, 'z': 0.04831771782889329, 'yaw': -0.00872330297159607, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.2859950065612793, 'x': 0.05662885211241146, 'y': 0.11586449913080821, 'z': 0.04828834886931049, 'yaw': -0.0068284925659929385, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.296086311340332, 'x': 0.05670047789553057, 'y': 0.11584139199574411, 'z': 0.04821730970012887, 'yaw': -0.003919160416458567, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3060648441314697, 'x': 0.05674592584133235, 'y': 0.11584584703748933, 'z': 0.04825274390172736, 'yaw': -0.005029709782693459, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3164138793945312, 'x': 0.05677350444176096, 'y': 0.11587932572631372, 'z': 0.048399856678447206, 'yaw': -0.007153000881752192, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3264408111572266, 'x': 0.05668746571867397, 'y': 0.11583975752296666, 'z': 0.048424640872946005, 'yaw': -0.003832955118343584, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3359923362731934, 'x': 0.05652418038260689, 'y': 0.11577236304170947, 'z': 0.04851513675341901, 'yaw': -0.005735584155447171, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3460569381713867, 'x': 0.056739625681291886, 'y': 0.1158279256487874, 'z': 0.04846864657924798, 'yaw': -0.006831947044567244, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.35628080368042, 'x': 0.05669278883790584, 'y': 0.11571764151132759, 'z': 0.048316032758274556, 'yaw': -0.007383045921444342, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3662126064300537, 'x': 0.05665646821251089, 'y': 0.11574331207009446, 'z': 0.04837733426631262, 'yaw': -0.007426530522521624, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.376267671585083, 'x': 0.056630385336925104, 'y': 0.11571526649031892, 'z': 0.04845574006787723, 'yaw': -0.006330216739666383, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.38541841506958, 'x': 0.05677410718411785, 'y': 0.1157578208548113, 'z': 0.04868940215534248, 'yaw': -0.008901992045797336, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.3965764045715332, 'x': 0.056741052792282136, 'y': 0.11578958680576103, 'z': 0.04838687272970402, 'yaw': -0.008594284114689543, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4061574935913086, 'x': 0.05686110255952774, 'y': 0.11581351345312135, 'z': 0.048371796213098284, 'yaw': -0.008471183082521705, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4161956310272217, 'x': 0.05669901403819327, 'y': 0.11570228461271194, 'z': 0.04855872560853106, 'yaw': -0.006975846844757605, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4261085987091064, 'x': 0.05674903067537051, 'y': 0.11572700220676521, 'z': 0.048609859828430906, 'yaw': -0.008477248889878553, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.436140775680542, 'x': 0.05677883688953972, 'y': 0.11571466414921462, 'z': 0.04862998011441259, 'yaw': -0.008802730937867764, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4462645053863525, 'x': 0.05680898309973059, 'y': 0.11563989813181252, 'z': 0.048636697837465936, 'yaw': -0.007719858739126728, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
{'time': 1.4562263488769531, 'x': 0.0567992825929548, 'y': 0.1155685404317625, 'z': 0.048711277781774476, 'yaw': -0.007259095678069372, 'x_sp': 0.05667756336504282, 'y_sp': 0.11614190603920302, 'z_sp': 0.5, 'yaw_sp': 0}
