{'time': 1.0168564319610596, 'x': 0.10566111963202592, 'y': 0.000856511747196611, 'z': 0.6528133202526522, 'yaw': 1.3729888197060005, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0203654766082764, 'x': 0.1056673795185519, 'y': 0.0008561636687617094, 'z': 0.6528069208916825, 'yaw': 1.372882561169355, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0258803367614746, 'x': 0.10566535875746755, 'y': 0.0008558898924249076, 'z': 0.6527954508958789, 'yaw': 1.3732897217855506, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0313949584960938, 'x': 0.105677116471086, 'y': 0.0008540186690530876, 'z': 0.6528110986996386, 'yaw': 1.3735857145416095, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0369093418121338, 'x': 0.10565551575515464, 'y': 0.0008581778786429326, 'z': 0.6527626278090557, 'yaw': 1.3737310357277854, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.042424201965332, 'x': 0.1056418695416202, 'y': 0.0008297333432148382, 'z': 0.6528288935973725, 'yaw': 1.3730035423698057, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0479388236999512, 'x': 0.10566264824921832, 'y': 0.0008270319376830143, 'z': 0.6528368575840708, 'yaw': 1.3730011571415213, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0534534454345703, 'x': 0.10565706482887682, 'y': 0.0008578873194089, 'z': 0.6528171663219001, 'yaw': 1.3732170360252114, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.058967113494873, 'x': 0.10566545143690413, 'y': 0.0008527539934035666, 'z': 0.652821384998374, 'yaw': 1.3733200648820219, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.064983606338501, 'x': 0.10567114945295183, 'y': 0.0008614600656154481, 'z': 0.652788578669305, 'yaw': 1.37304142651996, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.072033166885376, 'x': 0.1058116958477139, 'y': 0.0008902549927143882, 'z': 0.652959891256406, 'yaw': 1.3736640811146115, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0783202648162842, 'x': 0.10568603366281862, 'y': 0.0008340237954378758, 'z': 0.6527980475394258, 'yaw': 1.3732791249764693, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0828280448913574, 'x': 0.10567332584099914, 'y': 0.0008434717924995583, 'z': 0.6527962362819683, 'yaw': 1.3733686877757456, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0883426666259766, 'x': 0.10565817256682027, 'y': 0.0008412738903228585, 'z': 0.6528183337279231, 'yaw': 1.3735436176765137, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0938572883605957, 'x': 0.10565886803737132, 'y': 0.0008391374711005807, 'z': 0.6528236840635449, 'yaw': 1.3733897876903909, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0993719100952148, 'x': 0.10565757131239602, 'y': 0.000841070134498378, 'z': 0.6528332232161369, 'yaw': 1.373598435389306, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1049151420593262, 'x': 0.10567154337067414, 'y': 0.0008370359103900369, 'z': 0.6528305131346104, 'yaw': 1.3735190590115525, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1104011535644531, 'x': 0.10568006418478253, 'y': 0.0008349599042449116, 'z': 0.6528158162075794, 'yaw': 1.37314308422009, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1159155368804932, 'x': 0.10566994060267611, 'y': 0.0008331018941518181, 'z': 0.6528162916731304, 'yaw': 1.3733350415100571, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1214301586151123, 'x': 0.10567012799476182, 'y': 0.0008362964866378149, 'z': 0.6528133941860783, 'yaw': 1.3732902973868046, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1269447803497314, 'x': 0.10563878677684602, 'y': 0.0008630181551663952, 'z': 0.6527565105539742, 'yaw': 1.3734614223258759, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1324596405029297, 'x': 0.1056659592032699, 'y': 0.0008495451049922585, 'z': 0.6527991623592974, 'yaw': 1.3733914547116959, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1379737854003906, 'x': 0.10583326985773735, 'y': 0.0009110016925234877, 'z': 0.6529439528809374, 'yaw': 1.373948913671595, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1431028842926025, 'x': 0.10567043623994879, 'y': 0.0008376645598418179, 'z': 0.6528181350339339, 'yaw': 1.3735422029758824, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.148592233657837, 'x': 0.10565966705249076, 'y': 0.0008467001398674094, 'z': 0.6528191100367753, 'yaw': 1.3734104373138154, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
