{'time': 21.144469738006592, 'x': 0.004644188485994877, 'y': 1.0076210668836718, 'z': 0.3077555858198657, 'yaw': -0.010888069569416459, 'x_sp': 0, 'y_sp': 1, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.164490222930908, 'x': 0.004750904071798777, 'y': 1.0076973199337573, 'z': 0.3071184624764815, 'yaw': -0.00528578735085361, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.173514366149902, 'x': 0.004749946998681501, 'y': 1.0078715999897956, 'z': 0.3067164720564051, 'yaw': -0.009687842454607853, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.18354320526123, 'x': 0.004834368950263147, 'y': 1.0078334676317242, 'z': 0.30666419518119437, 'yaw': -0.004767782332603332, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.193569898605347, 'x': 0.004803687241147296, 'y': 1.008091951332621, 'z': 0.3063746871177601, 'yaw': -0.01230790014619565, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.204596757888794, 'x': 0.004698130449472984, 'y': 1.0080615975159164, 'z': 0.3063318662749738, 'yaw': -0.014155244531123046, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.215625524520874, 'x': 0.004656239650523876, 'y': 1.0081248392908262, 'z': 0.3060572429609746, 'yaw': -0.014557553939918755, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.223679304122925, 'x': 0.004622176277610857, 'y': 1.008120306644074, 'z': 0.30581416579531684, 'yaw': -0.01585238693581381, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.23367691040039, 'x': 0.004631915498352021, 'y': 1.0080005670335141, 'z': 0.305708120913037, 'yaw': -0.014098943139151388, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.244736671447754, 'x': 0.004552112464858625, 'y': 1.0080369473373234, 'z': 0.30565608735887095, 'yaw': -0.014822087737881517, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.253740549087524, 'x': 0.004778699882334939, 'y': 1.0080379270975335, 'z': 0.30541909877186224, 'yaw': -0.01578731746446227, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.26430082321167, 'x': 0.004567553267008103, 'y': 1.0078500714000176, 'z': 0.3054560334579402, 'yaw': -0.014406201524139739, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.273743629455566, 'x': 0.004540783404144166, 'y': 1.007709261403213, 'z': 0.30535674271224367, 'yaw': -0.014227670842416273, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.284769535064697, 'x': 0.004625731103570199, 'y': 1.007456753841757, 'z': 0.30509343056502697, 'yaw': -0.016390579290952445, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.293880224227905, 'x': 0.004852178272673553, 'y': 1.0070855207999534, 'z': 0.30501874990755007, 'yaw': -0.009522944133408373, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.303876399993896, 'x': 0.004826756053904923, 'y': 1.00674981559525, 'z': 0.30486860609197247, 'yaw': -0.01368311794338073, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.31390380859375, 'x': 0.004872335815492524, 'y': 1.0063049460140283, 'z': 0.3045711500109271, 'yaw': -0.021021607117630126, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.324933528900146, 'x': 0.004796065896427533, 'y': 1.0057693864015327, 'z': 0.30444644332384424, 'yaw': -0.018420514854661008, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.334093809127808, 'x': 0.004623611316339585, 'y': 1.0052413567890965, 'z': 0.3041421082292568, 'yaw': -0.016364915566216887, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.344101428985596, 'x': 0.0046918515440922326, 'y': 1.0044775718614507, 'z': 0.3038414626441752, 'yaw': -0.012764947260856196, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.354128122329712, 'x': 0.004775575065239669, 'y': 1.0037362900518063, 'z': 0.30375058834028174, 'yaw': -0.01337477756868033, 'x_sp': 0.0004940942925591692, 'y_sp': 0.7078032989111147, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.374179363250732, 'x': 0.004585080412314446, 'y': 1.0018271752635368, 'z': 0.303083505455948, 'yaw': -0.013682400044524812, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.384150505065918, 'x': 0.0044651825423290105, 'y': 1.000774449984772, 'z': 0.30309061796861636, 'yaw': -0.009837840412183496, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.394144535064697, 'x': 0.0047058415350448935, 'y': 0.9996238568573751, 'z': 0.30252436323593146, 'yaw': -0.014663350698444155, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.405173778533936, 'x': 0.004664797851735887, 'y': 0.9983757078628593, 'z': 0.30228277318058855, 'yaw': -0.01766895154074266, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.41420340538025, 'x': 0.004722018538205128, 'y': 0.9970220063201616, 'z': 0.3018508836653331, 'yaw': -0.0161982522413906, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.424225568771362, 'x': 0.004592048881662823, 'y': 0.9955393040058781, 'z': 0.30149582414934617, 'yaw': -0.01658156210124595, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.434251308441162, 'x': 0.0048830908468621426, 'y': 0.993861041427104, 'z': 0.3012195887654719, 'yaw': -0.011973657038932828, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.444278717041016, 'x': 0.004747828141217502, 'y': 0.9923253730170505, 'z': 0.3008473957933985, 'yaw': -0.007716535094258958, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.454367876052856, 'x': 0.004721945962461159, 'y': 0.9905513246202363, 'z': 0.3006002457395157, 'yaw': -0.010667708164429968, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.463388442993164, 'x': 0.004761765634372552, 'y': 0.9886938680877545, 'z': 0.3001009896123465, 'yaw': -0.007110214249649971, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.47341561317444, 'x': 0.004698428245188618, 'y': 0.9867241810963482, 'z': 0.2996789847991063, 'yaw': -0.010551581476025973, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.484446048736572, 'x': 0.004454247950705725, 'y': 0.9846352231308313, 'z': 0.2994191952597992, 'yaw': -0.004071512294382629, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.49346923828125, 'x': 0.004624989861816225, 'y': 0.9825543291318423, 'z': 0.2988166142005531, 'yaw': -0.012223974311107, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.50455117225647, 'x': 0.004681493498287095, 'y': 0.9802890584577788, 'z': 0.29840443414145656, 'yaw': -0.008079075541843395, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.514673233032227, 'x': 0.0047479781294125, 'y': 0.9780094385289189, 'z': 0.2980534448075542, 'yaw': -0.010463730780276848, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.523712158203125, 'x': 0.004623772124933552, 'y': 0.9755446468015919, 'z': 0.29773527074324124, 'yaw': -0.00985832720244062, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.533724069595337, 'x': 0.004597705461628316, 'y': 0.9730210990761131, 'z': 0.2973844090693174, 'yaw': -0.011579124032818022, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
{'time': 21.54384756088257, 'x': 0.004702881650940899, 'y': 0.9702885518705286, 'z': 0.296997740501, 'yaw': -0.0028044711822454715, 'x_sp': 0.0004897240336139029, 'y_sp': 0.7028647184019008, 'z_sp': 0.3, 'yaw_sp': 0}
