{'time': 1.0175974369049072, 'x': 0.049174738916864774, 'y': -0.2193023142924203, 'z': 0.04596588014087245, 'yaw': -0.004382742393897132, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0275306701660156, 'x': 0.04916482271523819, 'y': -0.21931245362977717, 'z': 0.04597667153609632, 'yaw': -0.004149164278390849, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.037559986114502, 'x': 0.049149335698676605, 'y': -0.2193108531283599, 'z': 0.04601094287277431, 'yaw': -0.004326578116470081, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0475866794586182, 'x': 0.04916263203986375, 'y': -0.21930574699254698, 'z': 0.04598771454500306, 'yaw': -0.004186858863963749, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0578384399414062, 'x': 0.04916217434364278, 'y': -0.21930810305736023, 'z': 0.045992519082323616, 'yaw': -0.004466612139473192, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0677704811096191, 'x': 0.04917088182027983, 'y': -0.21931776567636793, 'z': 0.0459567361073751, 'yaw': -0.003997385238296403, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0777666568756104, 'x': 0.049168525267366495, 'y': -0.2193024607707642, 'z': 0.04597183324372913, 'yaw': -0.003999933081629159, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0879781246185303, 'x': 0.049150005975311585, 'y': -0.21930686947545522, 'z': 0.046002665398448155, 'yaw': -0.004351140685918686, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0970547199249268, 'x': 0.04913996864191417, 'y': -0.21931456971854082, 'z': 0.04598910996573416, 'yaw': -0.00418885409544778, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1070282459259033, 'x': 0.04916446679305173, 'y': -0.21932347954624323, 'z': 0.04598187530187989, 'yaw': -0.004188979621885913, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1180577278137207, 'x': 0.04916685452645977, 'y': -0.21930551597442446, 'z': 0.04597712898049435, 'yaw': -0.004380955921443608, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1270816326141357, 'x': 0.049176971793746006, 'y': -0.21930060112333669, 'z': 0.04596747375266715, 'yaw': -0.0043425307789766165, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1373412609100342, 'x': 0.04916513566285713, 'y': -0.21930881638070918, 'z': 0.0459870073639065, 'yaw': -0.00451319411086093, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.147463083267212, 'x': 0.04914992566258333, 'y': -0.21932460928779357, 'z': 0.04598442209919769, 'yaw': -0.004208532076111382, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1584322452545166, 'x': 0.04914157610649202, 'y': -0.21930367136250564, 'z': 0.04600199991337346, 'yaw': -0.004363721597379744, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1674582958221436, 'x': 0.04916332975201297, 'y': -0.21930994842156215, 'z': 0.045968835054814236, 'yaw': -0.004680807514378493, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.176586389541626, 'x': 0.049162866659160684, 'y': -0.21932218201036785, 'z': 0.04595815696313645, 'yaw': -0.004358645718405718, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1876401901245117, 'x': 0.04916714822777077, 'y': -0.21930458008822146, 'z': 0.045972432800596326, 'yaw': -0.004088000531818459, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1977500915527344, 'x': 0.04916372032366762, 'y': -0.2192939790746327, 'z': 0.046011064906096154, 'yaw': -0.004559335931287656, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
