{'time': 1.0226964950561523, 'x': 0.053319146771565844, 'y': -0.23528493449898144, 'z': 0.045719119946248374, 'yaw': 0.05117602920564431, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0328187942504883, 'x': 0.053336937724385414, 'y': -0.2352907555885772, 'z': 0.04569934052587758, 'yaw': 0.050971939177715433, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0438101291656494, 'x': 0.0533428964866728, 'y': -0.23531452444292325, 'z': 0.045753456718876054, 'yaw': 0.0510135300642206, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0538361072540283, 'x': 0.053341994025666854, 'y': -0.23530166089691054, 'z': 0.0457488108856431, 'yaw': 0.050818408239919594, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0628657341003418, 'x': 0.05335672280467996, 'y': -0.23529458150744775, 'z': 0.0457205395413064, 'yaw': 0.050995604157791315, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0738153457641602, 'x': 0.053364716624398865, 'y': -0.2352973094038047, 'z': 0.04574052333994328, 'yaw': 0.051198891499791684, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.0837702751159668, 'x': 0.053334217191385896, 'y': -0.23529295389441607, 'z': 0.04574264843284727, 'yaw': 0.05133908029747679, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.092881441116333, 'x': 0.05333858642060983, 'y': -0.23529952098039786, 'z': 0.045732490136218495, 'yaw': 0.05092037636753239, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1028258800506592, 'x': 0.05334147696410226, 'y': -0.235304856170334, 'z': 0.04572332484226495, 'yaw': 0.051059652051206564, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1139318943023682, 'x': 0.05333956654721163, 'y': -0.23530049536068232, 'z': 0.04571899745974749, 'yaw': 0.051245204845648935, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.1230437755584717, 'x': 0.053331695491977284, 'y': -0.23528569534148663, 'z': 0.04573120792697941, 'yaw': 0.05107452829812815, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
